route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000021,OCESN2066F2348232:2023-10-13T00:46:55Z,2066,,98,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000027,OCESN2066F2406300:2023-10-13T00:46:55Z,2066,,99,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2066F2430697:2023-10-13T00:46:55Z,2066,,100,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000061,OCESN2066F2430928:2023-10-13T00:46:55Z,2066,,101,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2070F2425998:2023-10-13T00:46:55Z,2070,0,102,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000041,OCESN2070F2449693:2023-10-13T00:46:55Z,2070,0,103,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000062,OCESN2070F2689300:2023-10-13T00:46:55Z,2070,0,104,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000021,OCESN2071F2414000:2023-10-13T00:46:55Z,2071,1,105,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000054,OCESN2071F2686035:2023-10-13T00:46:55Z,2071,1,106,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000014,OCESN2074F2532388:2023-10-13T00:46:55Z,2074,,107,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000050,OCESN2074F2549792:2023-10-13T00:46:55Z,2074,,108,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000045,OCESN2077F2239945:2023-10-13T00:46:55Z,2077,1,109,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000063,OCESN2077F2249470:2023-10-13T00:46:55Z,2077,1,110,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000064,OCESN2077F2271008:2023-10-13T00:46:55Z,2077,1,111,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000065,OCESN2077F2544269:2023-10-13T00:46:55Z,2077,1,112,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000066,OCESN2078F2606221:2023-10-13T00:46:55Z,2078,,113,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000067,OCESN2085F2415322:2023-10-13T00:46:55Z,2085,,114,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000005,OCESN2087F2239944:2023-08-29T11:49:37Z,2087,1,115,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000068,OCESN2087F2308903:2023-10-11T00:54:01Z,2087,1,116,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000063,OCESN2087F2308904:2023-10-11T00:54:01Z,2087,1,117,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000010,OCESN2087F2308976:2023-10-11T00:54:01Z,2087,1,118,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000069,OCESN2087F2513914:2023-10-11T00:54:01Z,2087,1,119,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000050,OCESN2088F2358205:2023-10-13T00:46:55Z,2088,0,120,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000021,OCESN2088F2606060:2023-10-13T00:46:55Z,2088,0,121,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000018,OCESN2088F2686382:2023-10-13T00:46:55Z,2088,0,122,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000068,OCESN2088F2686638:2023-10-13T00:46:55Z,2088,0,123,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000014,OCESN2088F2689476:2023-10-13T00:46:55Z,2088,0,124,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000070,OCESN2090F2441881:2023-10-09T00:43:50Z,2090,,125,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000048,OCESN2090F2653546:2023-10-10T00:42:10Z,2090,,126,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000014,OCESN2092F2441878:2023-10-11T00:54:01Z,2092,,127,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000050,OCESN2092F2441879:2023-10-11T00:54:01Z,2092,,128,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000005,OCESN2096F2404402:2023-10-09T00:43:50Z,2096,0,129,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000071,OCESN2096F2519325:2023-10-09T00:43:50Z,2096,0,130,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000068,OCESN2096F2519326:2023-10-09T00:43:50Z,2096,0,131,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000010,OCESN2096F2519961:2023-10-09T00:43:50Z,2096,0,132,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000006,OCESN2203F2174017:2023-08-29T11:49:37Z,2203,1,133,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000072,OCESN2203F2291285:2023-10-13T00:46:55Z,2203,1,134,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000029,OCESN2203F2396611:2023-10-09T00:43:50Z,2203,1,135,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000073,OCESN2203F2420996:2023-10-09T00:43:50Z,2203,1,136,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000074,OCESN2203F2511416:2023-10-09T00:43:50Z,2203,1,137,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000075,OCESN2203F2511464:2023-10-09T00:43:50Z,2203,1,138,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000064,OCESN2203F2606792:2023-10-09T00:43:50Z,2203,1,139,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000076,OCESN2203F2606793:2023-10-10T00:42:10Z,2203,1,140,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000006,OCESN2204F2173418:2023-08-29T11:49:37Z,2204,0,141,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000077,OCESN2204F2290264:2023-10-09T00:43:50Z,2204,0,142,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000075,OCESN2204F2420778:2023-10-09T00:43:50Z,2204,0,143,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000078,OCESN2204F2520463:2023-10-10T00:42:10Z,2204,0,144,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000048,OCESN2204F2520741:2023-10-10T00:42:10Z,2204,0,145,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000029,OCESN2204F2522167:2023-10-09T00:43:50Z,2204,0,146,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000073,OCESN2204F2522168:2023-10-09T00:43:50Z,2204,0,147,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000074,OCESN2204F2600179:2023-10-09T00:43:50Z,2204,0,148,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000079,OCESN2204F2675671:2023-10-13T00:46:55Z,2204,0,149,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000064,OCESN2207F2290687:2023-10-09T00:43:50Z,2207,,150,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000056,OCESN2208F1921255:2023-10-11T00:54:01Z,2208,0,151,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000006,OCESN2208F2430230:2023-10-11T00:54:01Z,2208,0,152,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000056,OCESN2210F2240732:2023-10-11T00:54:01Z,2210,0,153,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000006,OCESN2210F2686365:2023-10-11T00:54:01Z,2210,0,154,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000060,OCESN2213F2426030:2023-10-09T00:43:50Z,2213,1,155,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000060,OCESN2214F2542671:2023-10-11T00:54:01Z,2214,0,156,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000021,OCESN2214F2689940:2023-10-11T00:54:01Z,2214,0,157,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000053,OCESN2216F2542491:2023-10-13T00:46:55Z,2216,,158,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000080,OCESN2223F1719268:2023-10-11T00:54:01Z,2223,,159,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000065,OCESN2223F2151569:2023-10-11T00:54:01Z,2223,,160,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000054,OCESN2223F2495280:2023-10-11T00:54:01Z,2223,,161,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000021,OCESN2226F2141178:2023-10-11T00:54:01Z,2226,0,162,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000014,OCESN2226F2606774:2023-10-11T00:54:01Z,2226,0,163,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000054,OCESN2226F2632376:2023-10-11T00:54:01Z,2226,0,164,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000021,OCESN2234F1955190:2023-10-11T00:54:01Z,2234,0,165,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000006,OCESN2236F2686034:2023-10-11T00:54:01Z,2236,0,166,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000021,OCESN2237F1334366:2023-10-04T00:41:06Z,2237,1,167,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000050,OCESN2237F1921198:2023-10-09T00:43:50Z,2237,1,168,
FR:Line::84BC1172-DFEB-400B-9E16-D463DA9A393C:,000014,OCESN2237F2380870:2023-10-09T00:43:50Z,2237,1,169,
