trip_id,duration,start_station,end_station
OCESN7615F1843659:2023-08-05T00:42:19Z,250.0,Paris Montparnasse Hall 1 - 2,Quimper
OCESN7615F2688547:2023-10-11T00:54:01Z,201.0,Paris Montparnasse Hall 1 - 2,Auray
OCESN7616F1954844:2023-08-05T00:42:19Z,252.0,Quimper,Paris Montparnasse Hall 1 - 2
OCESN7616F2674088:2023-10-11T00:54:01Z,209.0,Auray,Paris Montparnasse Hall 1 - 2
OCESN7621F2099929:2023-10-11T00:54:01Z,137.0,Paris Montparnasse Hall 1 - 2,Nantes
OCESN7622F1955138:2023-10-13T00:46:55Z,124.0,Nantes,Paris Montparnasse Hall 1 - 2
OCESN7641F2194498:2023-06-17T00:46:06Z,133.0,Paris Montparnasse Hall 1 - 2,Niort
OCESN7641F2230238:2023-10-11T00:54:01Z,181.0,Paris Montparnasse Hall 1 - 2,La Rochelle
OCESN7642F2096675:2023-10-11T00:54:01Z,171.0,La Rochelle,Paris Montparnasse Hall 1 - 2
OCESN7642F2495779:2023-08-04T00:39:23Z,141.0,Niort,Paris Montparnasse Hall 1 - 2
OCESN7660F1842888:2023-07-06T00:36:57Z,333.0,Bordeaux Saint-Jean,Tourcoing
OCESN7669F2094099:2023-10-11T00:54:01Z,300.0,Tourcoing,Bordeaux Saint-Jean
OCESN7672F1756418:2023-10-10T00:42:10Z,269.0,Toulouse Matabiau,Paris Montparnasse Hall 1 - 2
OCESN7810F2059735:2023-06-01T00:43:46Z,115.0,Montpellier Saint-Roch,Lyon Perrache
OCESN7813F2387503:2023-07-01T00:41:00Z,115.0,Lyon Perrache,Montpellier Saint-Roch
OCESN7815F1842605:2023-10-13T00:46:55Z,196.0,Lille Flandres,Lyon Perrache
OCESN7831F2377020:2023-10-13T00:46:55Z,204.0,Aéroport Charles de Gaulle 2 TGV,Marseille Saint-Charles
OCESN7831F2418177:2023-07-08T00:35:50Z,189.0,Aéroport Charles de Gaulle 2 TGV,Aix-en-Provence TGV
OCESN7835F1566322:2023-06-28T00:41:30Z,282.0,Lille Flandres,Marseille Saint-Charles
OCESN7836F2176707:2023-10-10T00:42:10Z,287.0,Marseille Saint-Charles,Tourcoing
OCESN7841F2346869:2023-06-28T00:41:30Z,281.0,Lille Flandres,Aix-en-Provence TGV
OCESN7860F2096777:2023-10-13T00:46:55Z,285.0,Montpellier Sud de France,Lille Flandres
OCESN7867F2175416:2023-07-12T00:33:16Z,309.0,Tourcoing,Montpellier Sud de France
OCESN8003F2079401:2023-10-09T00:43:50Z,114.0,Paris Montparnasse Hall 1 - 2,Rennes
OCESN8020F1316632:2023-10-12T00:48:35Z,92.0,Rennes,Paris Montparnasse Hall 1 - 2
OCESN8080F1408509:2023-10-12T00:48:35Z,158.0,Saint-Malo,Paris Montparnasse Hall 1 - 2
OCESN8081F1959713:2023-10-01T00:25:35Z,167.0,Paris Montparnasse Hall 1 - 2,Saint-Malo
OCESN8179F1974145:2023-10-12T00:48:35Z,180.0,Paris Montparnasse Hall 1 - 2,Lorient
OCESN8300F1991247:2023-10-13T00:46:55Z,74.0,Tours,Paris Montparnasse Hall 1 - 2
OCESN8301F1303861:2023-08-29T11:49:37Z,73.0,Paris Montparnasse Hall 1 - 2,Tours
OCESN8330F1912253:2023-09-05T00:35:10Z,122.0,Poitiers,Paris Montparnasse Hall 1 - 2
OCESN8472F1646901:2023-10-09T00:43:50Z,181.0,Arcachon,Paris Montparnasse Hall 1 - 2
OCESN8473F2322822:2023-10-10T00:42:10Z,185.0,Paris Montparnasse Hall 1 - 2,Arcachon
OCESN8500F2402838:2023-10-13T00:46:55Z,203.0,Agen,Paris Montparnasse Hall 1 - 2
OCESN8530F2286616:2023-10-12T00:48:35Z,295.0,Hendaye,Paris Montparnasse Hall 1 - 2
OCESN8531F2387680:2023-10-09T00:43:50Z,284.0,Paris Montparnasse Hall 1 - 2,Hendaye
OCESN8560F2411218:2023-10-13T00:46:55Z,325.0,Tarbes,Paris Montparnasse Hall 1 - 2
OCESN8571F2688906:2023-10-11T00:54:01Z,313.0,Paris Montparnasse Hall 1 - 2,Tarbes
OCESN8680F2326159:2023-10-12T00:48:35Z,161.0,Saint-Brieuc,Paris Montparnasse Hall 1 - 2
OCESN8687F2398325:2023-10-07T00:44:23Z,179.0,Paris Montparnasse Hall 1 - 2,Saint-Brieuc
OCESN8692F1301337:2023-10-09T00:43:50Z,190.0,Lannion,Paris Montparnasse Hall 1 - 2
OCESN8695F1978000:2023-10-12T00:48:35Z,189.0,Paris Montparnasse Hall 1 - 2,Lannion
OCESN8707F2226840:2023-10-03T00:24:35Z,167.0,Paris Montparnasse Hall 1 - 2,Vannes
OCESN8720F2227274:2023-09-05T00:35:10Z,155.0,Vannes,Paris Montparnasse Hall 1 - 2
OCESN8790F2076838:2023-10-12T00:48:35Z,203.0,Lorient,Paris Montparnasse Hall 1 - 2
OCESN8895F1835277:2023-09-06T00:34:27Z,59.0,Paris Montparnasse Hall 1 - 2,Le Mans
