trip_id,duration,start_station,end_station
OCESN6607F1875962:2023-10-13T00:46:55Z,116.0,paris gare de lyon hall 1 - 2,lyon part dieu
OCESN6616F2044730:2023-08-29T11:49:37Z,116.0,lyon part dieu,paris gare de lyon hall 1 - 2
OCESN6681F1959731:2023-10-09T00:43:50Z,176.0,paris gare de lyon hall 1 - 2,saint-étienne châteaucreux
OCESN6690F1967050:2023-10-09T00:43:50Z,171.0,saint-étienne châteaucreux,paris gare de lyon hall 1 - 2
OCESN6700F2176818:2023-10-12T00:48:35Z,175.0,mulhouse,paris gare de lyon hall 1 - 2
OCESN6703F1348736:2023-10-12T00:48:35Z,225.0,paris gare de lyon hall 1 - 2,mulhouse
OCESN6741F2532502:2023-10-13T00:46:55Z,147.0,paris gare de lyon hall 1 - 2,besançon viotte
OCESN6760F2206176:2023-10-13T00:46:55Z,154.0,besançon viotte,paris gare de lyon hall 1 - 2
OCESN6801F2171784:2023-10-13T00:46:55Z,278.0,lyon part dieu,nice-ville
OCESN6801F2420378:2023-08-29T11:49:37Z,163.0,lyon part dieu,toulon
OCESN6813F2310077:2023-10-12T00:48:35Z,157.0,lyon perrache,toulon
OCESN6821F1556209:2023-08-29T11:49:37Z,262.0,lyon part dieu,toulouse matabiau
OCESN6821F2341635:2023-08-29T11:49:37Z,117.0,lyon part dieu,montpellier saint-roch
OCESN6823F1477363:2023-10-12T00:48:35Z,245.0,lyon perrache,toulouse matabiau
OCESN6850F1727105:2023-10-13T00:46:55Z,280.0,nice-ville,lyon part dieu
OCESN6850F2261007:2023-08-29T11:49:37Z,178.0,toulon,lyon part dieu
OCESN6850F2695595:2023-10-12T00:48:35Z,283.0,nice-ville,lyon perrache
OCESN6864F2028313:2023-10-10T00:42:10Z,106.0,marseille saint-charles,lyon part dieu
OCESN6866F2695602:2023-10-12T00:48:35Z,181.0,toulon,lyon perrache
OCESN6871F1990990:2023-10-12T00:48:35Z,247.0,toulouse matabiau,lyon perrache
